iter	Passed	Remaining
850	3241	4375
851	3244	4371
852	3247	4367
853	3251	4363
854	3254	4359
855	3258	4354
856	3262	4351
857	3266	4347
858	3270	4343
859	3274	4340
860	3277	4335
861	3281	4332
862	3285	4328
863	3289	4324
864	3293	4320
865	3296	4317
866	3300	4313
867	3304	4310
868	3308	4306
869	3312	4302
870	3316	4298
871	3320	4294
872	3323	4290
873	3327	4286
874	3330	4282
875	3334	4278
876	3338	4275
877	3342	4271
878	3347	4268
879	3351	4265
880	3355	4261
881	3359	4258
882	3364	4255
883	3368	4252
884	3372	4248
885	3376	4244
886	3380	4241
887	3383	4237
888	3388	4234
889	3392	4231
890	3396	4227
891	3400	4224
892	3404	4220
893	3408	4216
894	3412	4213
895	3416	4210
896	3421	4207
897	3425	4203
898	3428	4199
899	3432	4195
900	3436	4191
901	3440	4188
902	3444	4184
903	3447	4179
904	3451	4175
905	3454	4171
906	3458	4167
907	3462	4163
908	3465	4159
909	3469	4155
910	3472	4151
911	3476	4147
912	3479	4143
913	3483	4139
914	3487	4135
915	3491	4132
916	3495	4128
917	3499	4125
918	3503	4121
919	3508	4118
920	3512	4115
921	3516	4112
922	3521	4109
923	3526	4106
924	3531	4104
925	3537	4102
926	3542	4100
927	3548	4098
928	3554	4098
929	3560	4096
930	3565	4094
931	3571	4092
932	3577	4091
933	3583	4089
934	3588	4087
935	3594	4086
936	3600	4084
937	3606	4082
938	3612	4081
939	3616	4078
940	3621	4076
941	3626	4072
942	3630	4069
943	3634	4065
944	3638	4061
945	3642	4057
946	3645	4053
947	3649	4049
948	3652	4045
949	3656	4041
950	3659	4037
951	3663	4032
952	3666	4028
953	3670	4024
954	3674	4020
955	3677	4016
956	3681	4011
957	3684	4007
958	3688	4003
959	3691	3999
960	3695	3995
961	3699	3991
962	3702	3987
963	3706	3983
964	3709	3979
965	3713	3974
966	3717	3970
967	3720	3966
968	3724	3962
969	3728	3958
970	3731	3954
971	3735	3950
972	3738	3946
973	3742	3942
974	3746	3938
975	3749	3934
976	3753	3930
977	3756	3925
978	3760	3921
979	3764	3917
980	3768	3914
981	3772	3910
982	3775	3906
983	3779	3902
984	3783	3898
985	3786	3894
986	3790	3889
987	3793	3885
988	3796	3881
989	3800	3877
990	3804	3873
991	3807	3868
992	3811	3864
993	3815	3861
994	3819	3857
995	3822	3853
996	3826	3849
997	3830	3845
998	3833	3841
999	3837	3837
1000	3840	3833
1001	3844	3829
1002	3847	3824
1003	3851	3820
1004	3855	3816
1005	3858	3812
1006	3861	3808
1007	3865	3803
